titlu	pret	oras	grad_finisare	descriere	tip_oferta	persoana	etaj	vechime_imobil	numar_bai	numar_balcoane	geamuri_termopan	centrala_termica	compatimentare	parchet	confort	gresie	faianta	zugravit_lavabil	loc_parcare	agentie	numar_camere	strada	suprafata	cartier	link	modificari_interioare	balcoane_inchise	aer_conditionat	loc_in_pod	loc_in_pivnita	uscator 
Napolux Imobiliare vinde Garsoniera Cart. Manastur	32 000 EUR	Cluj-Napoca, Cluj, Manastur	Nespecificat	    22 mp,  etajul 1/4,  finisata modern,  complet utilata si mobilata,  contorizata individual,  localizata in bloc de apartamente,  pret usor negociabil			Etajul 1	mai vechi de 2000			Da	Nu		Da		Da	Da	Da		Napolux Imobiliare		G 	22mp 	Manastur	http://www.piata-az.ro/anunturi/oras-cluj-napoca/7494393	Nu		Nu			
Apartament cu 1 camere  garsoniera de vânzare în zona Marasti	39 900 EUR	Cluj-Napoca, Cluj, Marasti	Nespecificat	"    RE/MAX Exclusive va propune spre vanzare garsoniera in cartierul Marasti , zona Expo Transilvania , la 10-15 minute de facultati si Iulius Mall Garsoniera este situata la etajul doi  , intr-un bloc de patru  etaje  avand o suprafata utila de 24mp si un balcon de patru  metri,  compusa din hol camera bucatarie , baie .. Finisajele de tip clasic si modern  parchet melaminat , ,  geamuri termoizolante din PVC,  , gresie , faianta .. Sistemul de incalzire in apartament este cu centrala termoficare..Bloc izolat termic , pozitionare estica . Garsoniera se vinde mobilata,  utilata , Daca se doreste pentru investitie poate ramane si chiriasul ."			Etajul 2	Nespecificat				Nu		Nu		Nu	Nu	Nu		RE/MAX Exclusive		Strada Cojocnei 	24mp 	Marasti	http://www.piata-az.ro/anunturi/oras-cluj-napoca/7495077			Nu			
Garsoniera in cartierul Marasti	33 000 EUR	Cluj-Napoca, Cluj, Marasti		    Koncept Imobiliare va ofera spre vanzare o garsoniera  cu suprafata utila de 22mp situata la etajul doi in tr-un imobil doar de garsoniere in cartierul Marasti pe strda Cojocnei,  Apartamentul este finisat,  izolat interior,  liber imediat.Pentru mai multe informatii nu ezitati sa ne contactati telefonic,  prin email sau la sediul agentiei pe str. Napoca nr. 10,  Cluj-Napoca			Etajul 2	mai vechi de 2000				Nu		Nu		Nu	Nu	Nu		Koncept Imobiliare		- 	22mp 	Marasti	http://www.piata-az.ro/anunturi/oras-cluj-napoca/7442818			Nu			
Garsoniera de vanzare in Manastur	44 000 EUR	Cluj-Napoca, Cluj, Manastur		    Garsoniera la etaj intermediar cu priveliste deosebita! Va propunem spre vanzare garsoniera in Cluj Napoca,  cartierul Manastur,  zona strazii Parang. Garsoniera este situata la etajul 2 intr-un imobil dispus pe 10 nivele. Avand o suprafata utila de 28 mp este compusa din 1 camera,  1 bucatarie,  1 baie,  1 balcon si 1 hol. Finisajele sunt de tip clasic. garsoniera fiind dotata cu: pardoseala cu linouleum,  pereti cu var,  geamuri cu sticla si lemn,  usi interioare din lemn,  usa de la intrare metalica. Sistemul de incalzire in apartament este cu centrala de bloc. Garsoniera se vinde semimobilata clasic,  fiind dotat cu lift si interfon. Pentru mai multe detalii legate de aceasta garsoniera contactati-ne cu incredere!																NAPOCA Imobiliare		-	28mp 	Manastur	http://www.piata-az.ro/anunturi/oras-cluj-napoca/7599837						
Garsoniera de vanzare in Marasti	46 000 EUR	Cluj-Napoca, Cluj, Marasti		    Va oferim spre vanzare garsoniera in cartierul Marasti,  zona FSEGA,  situata la parter,  intr-un imobil dispus pe 4 nivele. Avand o suprafata utila de 21 mp,  locuinta dispune de 1 camera open space cu bucatarie si 1 baie. Sistemul de incalzire in apartament este cu centrala de bloc. La nivel de finisaje avem pardoseala cu parchet laminat,  pereti cu lavabil,  bucatarie cu faianta moderna si baie cu faianta si gresie moderna,  geamuri termoizolante din PVC,  usi interioare din lemn,  usa de la intrare metalica. Garsoniera se vinde mobilata modern si  utilata. Pozitionarea este excelenta,  fiind aproape de universitati,  magazine,  statii de autobuz si la 5 minute de Iulius Mall. Pentru mai multe detalii,  contactati-ne chiar acum!																NAPOCA Imobiliare		-	21mp 	Marasti	http://www.piata-az.ro/anunturi/oras-cluj-napoca/7592315						
Garsoniera de vanzare in Zorilor	55 500 EUR	Cluj-Napoca, Cluj, Zorilor		    Ocazie! Va oferim spre vanzare garsoniera in cartierul Zorilor,  zona Spitalul de Recuperare,  ideala pentru inchiriere,  aproape de camine studentesti,  magazine,  mijloace de transport.  Garsoniera este situata la etajul 4 intr-un imobil dispus pe 4 nivele. Avand o suprafata utila de 24 mp,  dispune de o camera,  o bucatarie,  o baie. Finisajele de tip modern sunt evidentiate astfel: parchet laminat pentru pardoseala,  vopsea lavabila pentru pereti,  geamuri termoizolante din PVC,  gresie si faianta moderna pentru baie,  usa metalica la intrare. Garsoniera se vinde  mobilata modern,   utilata. Pentru detalii,  nu ezitati sa ne contactati.																NAPOCA Imobiliare		-	24mp 	Zorilor	http://www.piata-az.ro/anunturi/oras-cluj-napoca/7569011						
Garsoniera de vanzare in Marasti	41 000 EUR	Cluj-Napoca, Cluj, Marasti		    Garsoniera la etaj intermediar cu centrala proprie in cartierul Marasti! Oferim spre vanzare garsoniera in cartierul Marasti,  zona Expo Transilvania. Locuinta este situata la etajul 3 intr-un imobil dispus pe 4 nivele. Avand o suprafata utila de 24 mp dispune de 1 camera,  1 bucatarie,  1 baie si un balcon. Finisajele de tip modern sunt evidentiate astfel: pardoseala cu parchet laminat,  pereti cu vopsea lavabila,  gresie si faianta in baie si bucatarie,  geamuri termoizolante din PVC,  usi interioare din lemn,   usa de la intrare metalica. Sistemul de incalzire este cu centrala termica proprie. Garsoniera se vinde  mobilata si utilata. Zona in care este amplasata locuinta ofera acces facil spre mijloacele de transport in comun,  magazine,  scoli,  facultati,  Iulius Mall. Este ideala si ca investitie,  chiria in zona fiind in jur de 220 euro/luna. Pentru mai multe informatii sa programarea unei vizionari,  nu ezitati sa ne contactati!																NAPOCA Imobiliare		-	24mp 	Marasti	http://www.piata-az.ro/anunturi/oras-cluj-napoca/7565214						
Garsoniera de vanzare in Manastur	45 000 EUR	Cluj-Napoca, Cluj, Manastur		"    Va oferim spre vanzare o garsoniera in cartierul Manastur,  zona strazii Parang situata la etajul 10 intr-un bloc reabilitat termic si izolat pe interior dispus pe 10 nivele. Pozitionarea este una favorabila,  in imediata apropiere se afla scoli,  gradinite,  parcuri  pentru copii,  supermarket-uri,  statii de autobuz.Garsoniera dispune de 30 mp utili si este compus din 1 hol,  1 camera,  1 bucatarie si o baie. Finisajele sunt de tip modern si clasic si sunt evidentiate prin: gresie si faianta moderne,  geamuri termoizolante din PVC,  parchet laminat,  iar sistemul de incalzire este cu centrala termica proprie. Se vinde complet mobilat si utilat.Daca acest apartament este pe placul dumneavoastra,  ne puteti contacta pentru a stabili o vizionare impreuna!"																NAPOCA Imobiliare		-	30mp 	Manastur	http://www.piata-az.ro/anunturi/oras-cluj-napoca/7563347						
Garsoniera de vanzare in Manastur	46 500 EUR	Cluj-Napoca, Cluj, Manastur		    Oportunitate de investitie! Va propunem spre vanzare garsoniera in Cluj Napoca,  cartierul Manastur,  zona Strazii Mehedinti. Garsoniera este situata la etajul 4 intr-un imobil dispus pe 4 nivele,  ce are in apropiere magazine,  farmacii,  scoli si mijloace de transport in comun. Aceasta are o suprafata utila de 25 mp si este compusa din 1 camera,  1 bucatarie,  1 baie,  1 balcon si 1 hol. Finisajele sunt de tip modern,  garsoniera fiind dotata cu: pardoseala cu parchet laminat,  pereti cu lavabil,  bucatarie cu faianta moderna,  gresie moderna si baie cu faianta moderna,  gresie moderna,  geamuri termoizolante din PVC,  usi interioare din lemn,  usa de la intrare metalica. Sistemul de incalzire in apartament este cu centrala termica. Garsoniera se vinde mobilata modern si utilata. Pentru mai multe detalii legate de aceasta proprietate contactati-ne cu incredere!																NAPOCA Imobiliare		-	25mp 	Manastur	http://www.piata-az.ro/anunturi/oras-cluj-napoca/7559372						
Garsoniera de vanzare in Marasti	40 000 EUR	Cluj-Napoca, Cluj, Marasti		    Garsoniera in cartierul Marasti! Oferim spre vanzare garsoniera in cartierul Marasti,  zona Expo Transilvania. Garsoniera este situata la etajul 4 intr-un imobil reabilitat termic dispus pe 4 nivele. Avand o suprafata utila de 22 mp dispune de 1 camera,  1 bucatarie si 1 baie. Finisajele de tip modern sunt evidentiate astfel: pardoseala cu parchet din lemn masiv,  pereti cu lavabil,  gresie si faianta in baie si bucatarie,  geamuri termoizolante din PVC,  usi interioare din lemn,   usa de la intrare metalica. Sistemul de incalzire in apartament este cu centrala de bloc. Garsoniera se vinde  mobilata modern. Zona in care este amplasata locuinta ofera acces facil spre mijloacele de transport in comun,  scoli,  facultati,  magazine. Este ideala si pentru investitie,  chiria in zona fiind in jur de 200 euro. Pentru mai multe informatii sau programarea unei vizionari,  nu ezitati sa ne contactati!																NAPOCA Imobiliare		-	22mp 	Marasti	http://www.piata-az.ro/anunturi/oras-cluj-napoca/7539852						
Garsoniera de vanzare in Marasti	44 000 EUR	Cluj-Napoca, Cluj, Marasti		    Garsoniera 28 mp in cartierul Marasti! Oferim spre vanzare garsoniera in cartierul Marasti,  zona Expo Transilvania. Garsoniera este situata la etajul 4 intr-un imobil dispus pe 4 nivele. Avand o suprafata utila de 28 mp dispune de 1 camera,  1 bucatarie,  1 baie si un balcon(este unit cu restul camerei). Finisajele de tip modern sunt evidentiate astfel: pardoseala cu parchet laminat,  pereti cu vopsea lavabila,  gresie si faianta in baie si bucatarie,  geamuri termoizolante din PVC,  usi interioare din lemn,   usa de la intrare metalica. Sistemul de incalzire in apartament este cu centrala de bloc. Garsoniera se vinde  mobilata si utilata,  fiind dotat cu  interfon. Zona in care este amplasata locuinta ofera acces facil spre mijloacele de trasnport in comun,  magazine,  scoli,  facultati,  Iulius Mall. Pentru mai multe informatii sau programarea unei vizionari,  nu ezitati sa ne contactati!																NAPOCA Imobiliare		-	28mp 	Marasti	http://www.piata-az.ro/anunturi/oras-cluj-napoca/7539853						
Garsoniera de vanzare in Manastur	36 000 EUR	Cluj-Napoca, Cluj, Manastur		    Garsoniera de vanzare in zona Bucium,  Manastur,  Cluj Napoca. Locuinta este situata la etajul 4 intr-un imobil dispus pe 4 nivele. Avand o suprafata utila de 23 mp dispune de: 1 camera,  1 bucatarie,  1 baie,  1 hol si 1 parcare. Finisajele de tip modern si clasic sunt evidentiate astfel: parchet laminat,  pereti cu lavabil,  bucatarie,  baie cu faianta si gresie clasica,  geamuri termoizolante din PVC,  usi interioare din lemn,   usa de la intrare este metalica. Apartamentul este potrivit pentru investitie,  avand in vedere pozitionarea ideala aproape de statii de autobuz,  magazine,  farmacii si scoli.  Pentru detalii suplimentare va rugam sa ne contactati cu incredere! Cheia casei tale este la noi!																NAPOCA Imobiliare		-	23mp 	Manastur	http://www.piata-az.ro/anunturi/oras-cluj-napoca/7539856						
Garsoniera de vanzare in Manastur	46 000 EUR	Cluj-Napoca, Cluj, Manastur		    Va propunem spre vanzare garsoniera in Cluj Napoca,  cartierul Manastur,  zona Parang. Garsoniera este situata la etajul 3 intr-un imobil dispus pe 4 nivele,  ce are in apropiere magazine,  farmacii si mijloace de transport in comun. Aceasta are o suprafata utila de 30 mp si este compusa din 1 camera,  1 bucatarie,  1 baie si 1 balcon. Finisajele sunt de tip clasic,  garsoniera fiind dotata cu: pardoseala cu linouleum,  pereti cu var,  bucatarie cu faianta clasica,  gresie clasica si baie cu faianta clasica,  gresie clasica,  geamuri cu sticla si lemn,  usi interioare din lemn,  usa de la intrare din lemn. Sistemul de incalzire in apartament este cu centrala de bloc. Garsoniera se vinde mobilata clasic,  utilata si este dotata cu interfon. Pentru mai multe detalii legate de aceasta proprietate contactati-ne cu incredere!																NAPOCA Imobiliare		-	30mp 	Manastur	http://www.piata-az.ro/anunturi/oras-cluj-napoca/7539855						
Garsoniera de vanzare in Zorilor	45 500 EUR	Cluj-Napoca, Cluj, Zorilor		    Garsoniera in cartierul Zorilor! Oferim spre vanzare garsoniera in cartierul Zorilor,  zona Profi Zorilor. Garsoniera este situata la etajul 4 intr-un imobil dispus pe 4 nivele. Avand o suprafata utila de 24 mp dispune de 1 camera,  1 bucatarie,  1 baie si un balcon. Finisajele de tip clasic sunt evidentiate astfel: pereti cu vopsea lavabila,  gresie si faianta in baie si bucatarie,  geamuri termoizolante din PVC,  usi interioare din lemn,   usa de la intrare metalica. Sistemul de incalzire in apartament este cu centrala de bloc. Garsoniera se vinde  nemobilata. Amplasata intr-o zona buna a cartierului Zorilor,  locuinta ofera acces facil spre mijloacele de transport in comun,  magazine,  scoli,  facultati. Este ideala si pentru investitie,  chiria in zona fiind in jur de 220 euro. Pentru mai multe informatii sau programarea unei vizionari,  nu ezitati sa ne contactati!																NAPOCA Imobiliare		-	24mp 	Zorilor	http://www.piata-az.ro/anunturi/oras-cluj-napoca/7530567						
VAnd apartament 1 camera, central situat, in S=42mp, str. Nasaud, la 3 min ...	59 900 EUR	Cluj-Napoca, Cluj, Centru	Necesita renovare	    Vand apartament o camera,  central situat,  str. Nasaud,  et.3/7,  decomandat,  compus din camera,  bucatarie,  baie,  balcon,  2 debarale, un hol la intrare,  cu C.T, usa antiefractie,  izolat exterior,  finisaje clasice,  locatie excelenta la 3 min de Iulius-Moll,  la 3 min de centru,  pret 59900eur.	Vand	Agentie Imobiliara	Etajul 3	mai vechi de 2000	1	1	Nu	Da	Decomandat	Nu	Sporit	Nu	Nu	Nu	Nu	Venetia	1 	Nasaud 	42mp 	Centru	http://www.piata-az.ro/anunturi/oras-cluj-napoca/7601620	Nu	Nu	Nu	Nu	Nu	Nu
Garsoniera de vanzare in Marasti	33 000 EUR	Cluj-Napoca, Cluj, Marasti		    Oferim spre vanzare garsoniera in cartierul Marasti,  zona strazii Beiusului. Garsoniera este situata la parter intr-un imobil dispus pe 4 nivele. Avand o suprafata utila de 22 mp dispune de 1 camera,  1 bucatarie si 1 baie. Finisajele de tip modern sunt evidentiate prin pardoseala cu parchet laminat,  pereti cu vopsea lavabila,  gresie si faianta in baie si bucatarie,  geamuri termoizolante din PVC,  usi interioare din lemn,   usa de la intrare metalica. Sistemul de incalzire in apartament este cu centrala termica. Garsoniera se vinde  mobilata si utilata. Zona in care este amplasata locuinta ofera acces facil spre mijloacele de trasnport in comun,  magazine,  scoli,  facultati. Pentru mai multe informatii sau programarea unei vizionari,  nu ezitati sa ne contactati!																NAPOCA Imobiliare		-	22mp 	Marasti	http://www.piata-az.ro/anunturi/oras-cluj-napoca/7519818						
Garsoniera de vanzare in Marasti	40 000 EUR	Cluj-Napoca, Cluj, Marasti		    Garsoniera la etaj intermediar in cartierul Marasti! Oferim spre vanzare garsoniera in cartierul Marasti,  zona Strazii Fabricii. Garsoniera este situata la etajul 1 intr-un imobil reabilitat termic dispus pe 4 nivele. Avand o suprafata utila de 20 mp dispune de 1 camera,  1 bucatarie si o baie. Finisajele de tip modern sunt evidentiate astfel: pardoseala cu parchet laminat,  pereti cu vopsea lavabila,  gresie si faianta in baie si bucatarie,  geamuri termoizolante din PVC,  usi interioare din lemn,   usa de la intrare metalica. Confortul termic este asigurat de centrala termica proprie. Garsoniera se vinde  mobilata si utilata. Zona in care este amplasata locuinta ofera acces facil spre centrul orasului,  scoli,  magazine,  facultati. Pentru mai multe informatii sau programarea unei vizionari,  nu ezitati sa ne contactati!																NAPOCA Imobiliare		-	20mp 	Marasti	http://www.piata-az.ro/anunturi/oras-cluj-napoca/7524463						
Garsoniera de vanzare in Iris	32 000 EUR	Cluj-Napoca, Cluj, Iris		    Garsoniera la etaj intermediar! Oferim spre vanzare garsoniera in cartierul Iris,  zona Bulevardului Muncii. Garsoniera este situata la etajul 1 intr-un imobil reabilitat termic dispus pe 4 nivele. Avand o suprafata utila de 22 mp dispune de 1 camera,  1 bucatarie si o baie. Finisajele de tip modern sunt evidentiate astfel: pardoseala cu parchet laminat,  pereti cu lavabil,  gresie si faianta in baie si bucatarie,  geamuri termoizolante din PVC,  usi interioare din lemn,   usa de la intrare metalica. Sistemul de incalzire in apartament este cu centrala de bloc. Garsoniera se vinde  mobilata si utilata. Zona in care este amplasta locuinta ofera acces facil spre mijloacele de transport in comun,  scoli,  facultati,  magazine. Pentru mai multe informatii sau programarea unei vizionari,  nu ezitati sa ne contactati!																NAPOCA Imobiliare		-	22mp 	Iris	http://www.piata-az.ro/anunturi/oras-cluj-napoca/7524465						
Garsoniera de vanzare in Iris	25 500 EUR	Cluj-Napoca, Cluj, Iris		    Oferim spre vanzare garsoniera in cartierul Iris,  zona Bulevardul Muncii. Garsoniera este situata la etajul 4 intr-un imobil reabilitat termic dispus pe 4 nivele. Avand o suprafata utila de 22 mp dispune de 1 camera,  1 bucatarie si 1 baie. Finisajele de tip modern sunt evidentiate astfel: pardoseala cu parchet laminat,  pereti cu lavabil,  gresie si faianta in baie si bucatarie,  geamuri termoizolante din PVC,  usi interioare din lemn,   usa de la intrare metalica. Sistemul de incalzire in apartament este cu centrala termica proprie. Garsoniera se vinde  mobilata si utilata,  fiind dotata cu  interfon. Zona in care este amplasata locuinta ofera acces facil spre mijloacele de transport in comun,  magazine,  scoli,  facultati. Pentru mai multe informatii sau programarea unei vizionari,  nu ezitati sa ne contactati!																NAPOCA Imobiliare		-	22mp 	Iris	http://www.piata-az.ro/anunturi/oras-cluj-napoca/7518264						
Garsoniera de vanzare in Gheorgheni	50 000 EUR	Cluj-Napoca, Cluj, Gheorgheni		    Garsoniera in zona linistita aproape de centru. Va propunem spre vanzare garsoniera in Cluj Napoca,  in cartier Gheorgheni. Garsoniera dispune de 29 mp si este compartimentata astfel: 1 camera,  1 bucatarie,  1 baie si 1 balcon. Finisajele sunt de tip clasic,  necesitand renovari. Zona este buna cu acces facil spre toate punctele de interes ale orasului. Pentru mai multe detalii ne puteti contacta telefonic sau ne puteti vizita la sediul agentiei noastre de pe strada Teodor Mihali nr.31-35. Va asteptam cu drag la vizionare!																NAPOCA Imobiliare		-	29mp 	Gheorgheni	http://www.piata-az.ro/anunturi/oras-cluj-napoca/7518267						
Garsoniera de vanzare in Gruia	40 500 EUR	Cluj-Napoca, Cluj, Gruia		    Va oferim spre vanzare garsoniera in Cluj Napoca,  cartierul Gruia,  zona Stadionul CFR. Garsoniera este situata la etajul 1 intr-un imobil reabilitat termic dispus pe 4 nivele,  ce are in apropiere magazine,  farmacii,  scoli si mijloace de transport in comun. Aceasta are o suprafata utila de 21 mp si este compusa din 1 camera cu bucatarie,  1 baie si 1 hol. Finisajele sunt de tip modern,  garsoniera fiind dotata cu: pardoseala cu parchet laminat,  pereti cu lavabil si baie cu faianta si gresie moderna,  geamuri termoizolante din PVC,  usi interioare din lemn,  usa de la intrare metalica. Sistemul de incalzire in apartament este cu centrala de bloc. Garsoniera se vinde  mobilata modern si utilata. Pentru mai multe detalii legate de aceasta proprietate contactati-ne cu incredere!																NAPOCA Imobiliare		-	21mp 	Gruia	http://www.piata-az.ro/anunturi/oras-cluj-napoca/7516460						
Garsoniera de vanzare in Zorilor	57 000 EUR	Cluj-Napoca, Cluj, Zorilor		    Garsoniera ideala pentru investitie in zona UMF. Va propunem spre vanzare garsoniera in Cluj Napoca,  in cartier Zorilor. Dispune de 24 mp si este compartimentata astfel: 1 camera,  1 bucatarie,  1 baie si 1 balcon spatios. Finisajele moderne si de actualitatea ies in evidenta astfel: pereti cu vopsea lavabila,  usi interioare din lemn,  pardoseala cu parchet laminat,  usa de la intrare metalica. Garsoniera se vinde complet mobilata si utilata,  avand disponibilitate imediata. Zona este foarte buna,  foarte aproape fiind magazine,  bancii,  farmacii si la doar cateva minute facultatea de medicina. Pentru mai multe detalii ne puteti contacta telefonic sau vizita la sediul agentiei noastre de pe strada Teodor Mihali nr.31-35. Va asteptam cu drag la vizionare!																NAPOCA Imobiliare		-	24mp 	Zorilor	http://www.piata-az.ro/anunturi/oras-cluj-napoca/7518253						
Garsoniera de vanzare in Iris	28 500 EUR	Cluj-Napoca, Cluj, Iris		    Oferim spre vanzare garsoniera in cartierul Iris,  zona Bulevardul Muncii. Garsoniera este situata la etajul 4 intr-un imobil reabilitat termic dispus pe 4 nivele. Avand o suprafata utila de 22 mp dispune de 1 camera,  1 bucatarie si 1 baie. Finisajele de tip modern sunt evidentiate astfel: pardoseala cu parchet laminat,  pereti cu vopsea lavabila,   gresie si faianta in baie si bucatarie,  geamuri termoizolante din PVC,  usi interioare din lemn,   usa de la intrare din lemn. Sistemul de incalzire in apartament este cu centrala de bloc. Garsoniera se vinde  mobilata si utilata,  fiind dotata cu  interfon. Zona in care este amplasata locuinta ofera acces facil spre mijloacele de transport in comun,  magazine,  facultati,  scoli. Pentru mai multe informatii sau programarea unei vizionari,  nu ezitati sa ne contactati!																NAPOCA Imobiliare		-	22mp 	Iris	http://www.piata-az.ro/anunturi/oras-cluj-napoca/7518257						
Garsoniera de vanzare in Manastur	44 000 EUR	Cluj-Napoca, Cluj, Manastur		    Va propunem spre vanzare garsoniera in Cluj Napoca,  cartierul Manastur,  zona Parang. Garsoniera este situata la etajul 6 intr-un imobil dispus pe 10 nivele,  ce are in apropiere magazine,  farmacii,  scoli si mijloace de transport in comun. Aceasta are o suprafata utila de 28 mp si este compusa din 1 camera,  1 bucatarie,  1 baie,  1 balcon si 1 hol. Finisajele sunt de tip clasic si modern,  garsoniera fiind dotata cu: pardoseala cu linouleum,  pereti cu var,  bucatarie cu faianta clasica si baie cu faianta moderna,  gresie moderna,  geamuri cu sticla si lemn,  usi interioare din lemn,  usa de la intrare din lemn. Sistemul de incalzire in apartament este cu centrala de bloc. Garsoniera se vinde  mobilata clasic,  utilata si este dotata cu doua lifturi. Pentru mai multe detalii legate de aceasta proprietate contactati-ne cu incredere!																NAPOCA Imobiliare		-	28mp 	Manastur	http://www.piata-az.ro/anunturi/oras-cluj-napoca/7514431						
Garsoniera de vanzare in Manastur	50 000 EUR	Cluj-Napoca, Cluj, Manastur		    Va oferim spre vanzare garsoniera in Cluj Napoca,  cartierul Manastur,  zona Kaufland. Garsoniera este situata la etajul 2 intr-un imobil dispus pe 4 nivele,  ce are in apropiere magazine,  farmacii,  scoli,  gradinite si mijloace de transport in comun. Aceasta are o suprafata utila de 28 mp si este compusa din 1 camera,  1 bucatarie,  1 baie si 1 balcon. Finisajele sunt de tip clasic,  garsoniera fiind doatata cu: pardoseala cu mocheta,  pereti cu lavabil,  bucatarie cu faianta clasica,  gresie clasica si baie cu faianta clasica,  gresie clasica,  geamuri termoizolante din PVC,  usi interioare din lemn,  usa de la intrare din lemn. Sistemul de incalzire in apartament este cu centrala de bloc. Garsoniera se vinde  mobilata clasic,  semiutilata si este dotata cu  interfon. Pentru mai multe informatii legate de aceasta proprietate contactati-ne cu incredere!																NAPOCA Imobiliare		-	28mp 	Manastur	http://www.piata-az.ro/anunturi/oras-cluj-napoca/7501535						
Garsoniera de vanzare in Marasti	40 000 EUR	Cluj-Napoca, Cluj, Marasti		"    Oferim spre vanzare garsoniera in cartierul Marasti,  zona Expo Transilvania. Garsoniera este situata la etajul 4 intr-un imobil reabilitat termic dispus pe 4 nivele. Avand o suprafata utila de 22 mp,  locuinta dispune de 1 camera,  1 bucatarie,  1 baie si un balcon care este unit cu restul camerei. Finisajele de tip modern sunt evidentiate astfel: pardoseala cu parchet laminat,  pereti cu lavabil,  gresie si faianta in baie si bucatarie,  geamuri termoizolante din PVC,  usi interioare si la intrare din lemn. Sistemul de incalzire in apartament este cu centrala de bloc. Garsoniera se vinde mobilata si utilata. Zona in care este amplasata locuinta ofera acces facil spre mijloacele de transport in comun,  magazine,  scoli,  facultati,  Iulius Mall. Garsoniera este ideala si pentru investitie,  chiria in zona fiind in jur de 210 euro. Pentru mai multe detalii sau programarea unei vizionari,  nu ezitati sa ne contactati!"																NAPOCA Imobiliare		-	22mp 	Marasti	http://www.piata-az.ro/anunturi/oras-cluj-napoca/7501536						
Garsoniera de vanzare in Gheorgheni	36 000 EUR	Cluj-Napoca, Cluj, Gheorgheni		"    Garsoniera la etaj intermediar in cartierul Gheorgheni. Oferim spre vanzare garsoniera in  cartierul Gheorgheni,  zona piata Hermes. Locuinta este situata la etajul 3 intr-un imobil reabilitat termic dispus pe 4 nivele. Avand o suprafata utila de 22 mp dispune de 1 camera 1 bucatarie,  1 hol si 1 baie. Finisajele clasice sunt evidentiate astfel: pardoseala cu parchet din lemn masiv,  pereti cu lavabil,  gresie si faianta in baie si bucatarie,  geamuri din sticla si lemn,  usi interioare si la intrare din lemn. Sistemul de incalzire in apartament este cu centrala de bloc. Garsoniera se vinde mobilata si utilata. Zona in care este amplasata locuinta ofera acces facil spre mijloacele de transport in comun,  scoli,  facultati,  magazine,  Iulius Mall. Garsoniera este ideala si pentru investitie,  chiria in zona fiind aproximativ 200 euro. Pentru mai multe detalii sau programarea unei vizionari,  nu ezitati sa ne contactati!"																NAPOCA Imobiliare		-	22mp 	Gheorgheni	http://www.piata-az.ro/anunturi/oras-cluj-napoca/7501537						
Garsoniera de vanzare in Marasti	34 000 EUR	Cluj-Napoca, Cluj, Marasti		"    Oferim spre vanzare garsoniera in cartierul Marasti,  zona Expo Transilvania. Garsoniera este situata la parter intr-un imobil reabilitat termic dispus pe 4 nivele. Avand o suprafata utila de 22 mp,  aceasta dispune de 1 camera semidecomandata,  1 bucatarie si 1 baie. La nivel de finisaje dispune de pardoseala cu parchet laminat,  pereti cu lavabil,  gresie si faianta in baie si bucatarie,  geamuri termoizolante din PVC,  usi interioare din lemn,   usa de la intrare metalica. Sistemul de incalzire in apartament este cu centrala de bloc. Garsoniera se vinde nemobilata. Zona in care este amplasata locuinta ofera acces facil spre mijloacele de transport in comun,  magazine,  scoli,  facultati. Este ideala atata pentru locuinta,  cat si pentru investitie,  chiria in zona fiind intre 200-250 euro. Pentru mai multe  detalii sau programarea unei vizionari,  nu ezitati sa ne contactati!"																NAPOCA Imobiliare		-	22mp 	Marasti	http://www.piata-az.ro/anunturi/oras-cluj-napoca/7497117						
Garsoniera de vanzare in Marasti	49 500 EUR	Cluj-Napoca, Cluj, Marasti		    Oferim spre vanzare garsoniera situata in cartierul Marasti,  zona Strazii Dambovitei. Garsoniera este situata la parter intr-un imobil dispus pe 4 nivele. Avand o suprafata utila de 28 mp,  dispune de o camera,  o baie,  un balcon care este unit cu camera. Garsoniera se vinde  mobilata  si utilata. Pozitionata intr-o zona buna a cartierului Marasti,  aceasta ofera acces facil spre statiile de transport in comun,  magazine,  scoli,  facultati,  Iulius Mall. Locuinta este ideala si ca si investitie,  chiria in zona fiind 250 euro. Pentru mai multe detalii sau programarea unei vizionari,  nu ezitati sa ne contactati!																NAPOCA Imobiliare		-	28mp 	Marasti	http://www.piata-az.ro/anunturi/oras-cluj-napoca/7495416						
Garsoniera de vanzare in Marasti	46 000 EUR	Cluj-Napoca, Cluj, Marasti		"    Garsoniera la etaj intermediar in cartierul Marasti,  zona FSEGA. Garsoniera este situata la etajul 4 intr-un imobil nou dispus pe 8 nivele. Avand o suprafata utila de 24 mp,  dispune de o camera,  o bucatarie,  o baie si un balcon. Finisajele de tip modern sunt evidentiate astfel: pardoseala cu parchet laminat,  pereti cu vopsea lavabila,  gresie si faianta in baie si bucatarie,  geamuri termoizolante din PVC,  usi interioare din lemn,   usa de la intrare din lemn. Sistemul de incalzire in apartament este cu centrala de bloc. Garsoniera se vinde  mobilata modern,   utilata,  imobilul fiind dotat cu lift,  interfon. Amplasata intr-o zona buna a cartierului Marasti,  garsoniera ofera acces facil spre statiile de transport in comun,  magazine,  scoli,  facultati,  Iulius Mall.Pentru mai multe detalii sau programarea unei vizionari,  nu ezitati sa ne contactati!"																NAPOCA Imobiliare		-	22mp 	Marasti	http://www.piata-az.ro/anunturi/oras-cluj-napoca/7495405						
